ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12066346,JD250733,06/02/2020 07:00:00 AM,027XX N PINE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,false,false,1935,019,43,7,14,1172652,1918576,2020,06/09/2020 03:49:44 PM,41.932012618,-87.640940116,"(41.932012618, -87.640940116)"
12066870,JD251407,06/02/2020 03:30:00 PM,071XX S CLAREMONT AVE,0325,ROBBERY,VEHICULAR HIJACKING,STREET,false,false,0832,008,18,66,03,1161973,1857200,2020,06/09/2020 03:49:44 PM,41.763820499,-87.681894757,"(41.763820499, -87.681894757)"
12067158,JD251787,06/02/2020 11:42:00 PM,065XX S GREEN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0723,007,6,68,15,1171764,1861420,2020,06/09/2020 03:49:44 PM,41.775191608,-87.645884924,"(41.775191608, -87.645884924)"
12067461,JD252114,06/02/2020 05:20:00 PM,008XX E 86TH ST,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,false,false,0632,006,8,44,08A,1183230,1848133,2020,06/09/2020 03:49:44 PM,41.738471518,-87.604265189,"(41.738471518, -87.604265189)"
12067755,JD252487,06/02/2020 11:00:00 PM,052XX N MOBILE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1622,016,45,11,26,1133299,1934530,2020,06/09/2020 03:49:44 PM,41.976573076,-87.78518347,"(41.976573076, -87.78518347)"
12069966,JD254775,06/02/2020 01:00:00 PM,077XX N MARSHFIELD AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,2422,024,49,1,08B,,,2020,06/09/2020 03:49:44 PM,,,
12066848,JD251482,06/02/2020 02:45:00 AM,120XX S PRINCETON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,false,false,0523,005,34,53,14,1176447,1825185,2020,06/09/2020 03:49:44 PM,41.675653963,-87.629803336,"(41.675653963, -87.629803336)"
12067712,JD252349,06/02/2020 09:00:00 PM,022XX S SPRINGFIELD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),false,true,1013,010,22,30,26,1150738,1888759,2020,06/09/2020 03:49:44 PM,41.850649065,-87.722251555,"(41.850649065, -87.722251555)"
12068835,JD253585,06/02/2020 09:00:00 PM,006XX N MILWAUKEE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,1214,012,27,24,07,1169937,1904557,2020,06/09/2020 03:49:44 PM,41.893603441,-87.651326936,"(41.893603441, -87.651326936)"
12066833,JD251186,06/02/2020 01:11:00 PM,013XX W 80TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0612,006,21,71,15,1168943,1851721,2020,06/09/2020 03:49:44 PM,41.748637701,-87.656506096,"(41.748637701, -87.656506096)"
